Date,Open,High,Low,Close,Adj Close,Volume
2016-03-11,720.000000,743.070007,717.125000,737.780029,737.780029,8895300
2016-03-18,741.859985,745.719971,731.000000,735.299988,735.299988,9113900
2016-03-25,736.789978,757.880005,728.760010,744.950012,744.950012,6706300
2016-04-01,738.599976,752.799988,735.369995,740.280029,740.280029,6350100
2016-04-08,743.969971,757.309998,731.010010,753.200012,753.200012,6706300
2016-04-15,753.979980,769.900024,749.330017,759.140015,759.140015,9988300
2016-04-22,726.299988,736.119995,689.549988,691.020020,691.020020,16621600
2016-04-29,690.700012,702.320007,689.000000,701.429993,701.429993,9053800
2016-05-06,698.380005,724.479980,698.106995,713.309998,713.309998,7962000
2016-05-13,711.929993,721.520020,696.799988,700.320007,700.320007,8069800
2016-05-20,701.619995,728.330017,700.520020,724.119995,724.119995,8294100
2016-05-27,724.010010,739.729980,724.000000,730.400024,730.400024,6699900
2016-06-03,729.270020,729.539978,714.609985,728.580017,728.580017,6700400
2016-06-10,719.469971,725.890015,703.260010,710.359985,710.359985,6978400
2016-06-17,708.650024,708.820007,687.000000,701.869995,701.869995,10306200
2016-06-24,675.169983,692.320007,663.283997,692.099976,692.099976,12782100
2016-07-01,692.200012,701.679993,688.215027,695.359985,695.359985,5523400
2016-07-08,699.500000,724.000000,696.434998,720.950012,720.950012,5910000
2016-07-15,725.729980,742.130005,719.054993,738.630005,738.630005,6118300
2016-07-22,741.859985,748.650024,734.270020,745.909973,745.909973,8521600
2016-07-29,772.710022,780.429993,761.090027,771.609985,771.609985,10754200
2016-08-05,773.780029,789.750000,772.340027,784.849976,784.849976,5989500
2016-08-12,781.500000,787.489990,773.443970,777.500000,777.500000,4350300
2016-08-19,775.000000,777.099976,763.184998,769.409973,769.409973,4740000
2016-08-26,769.000000,776.080017,764.299988,768.780029,768.780029,5318000
2016-09-02,773.010010,782.729980,768.409973,775.320007,775.320007,4679500
2016-09-09,770.099976,773.799988,754.000000,771.760010,771.760010,6984000
2016-09-16,769.750000,789.849976,764.440979,787.210022,787.210022,6854700
2016-09-23,786.590027,788.929993,773.070007,775.010010,775.010010,6522800
2016-09-30,776.330017,782.070007,769.500000,776.859985,776.859985,6597400
2016-10-07,779.659973,792.280029,770.750000,778.190002,778.190002,5783300
2016-10-14,781.650024,804.599976,776.000000,796.969971,796.969971,7526700
2016-10-21,795.000000,816.679993,791.500000,795.349976,795.349976,8937000
2016-10-28,808.349976,815.489990,759.030029,762.130005,762.130005,12919200
2016-11-04,750.659973,795.632996,750.560974,762.559998,762.559998,12439100
2016-11-11,756.539978,772.700012,727.539978,771.229980,771.229980,11246800
2016-11-18,771.369995,776.960022,755.250000,760.989990,760.989990,5949200
2016-11-25,764.260010,779.530029,737.025024,747.919983,747.919983,9803000
2016-12-02,744.590027,778.179993,743.099976,776.419983,776.419983,7786500
2016-12-09,780.000000,804.380005,779.020996,797.849976,797.849976,9401900
2016-12-16,800.400024,800.856018,786.270020,791.260010,791.260010,6810400
2016-12-23,790.900024,797.859985,778.919983,782.789978,782.789978,3310600
2016-12-30,782.750000,794.479980,770.409973,794.020020,794.020020,5835500
2017-01-06,795.260010,809.966003,792.203979,806.359985,806.359985,6510600
2017-01-13,807.479980,811.223999,800.369995,802.174988,802.174988,4675000
2017-01-20,806.909973,838.000000,801.690002,832.150024,832.150024,9576000
2017-01-27,834.710022,841.950012,790.520020,798.530029,798.530029,11934800
2017-02-03,802.989990,811.840027,795.250000,809.559998,809.559998,6034100
2017-02-10,811.700012,824.400024,809.780029,824.159973,824.159973,6004200
2017-02-17,823.020020,833.450012,821.655029,831.330017,831.330017,5329000
2017-02-24,827.729980,836.255005,820.200012,830.630005,830.630005,7193500
2017-03-03,830.559998,842.000000,822.400024,838.679993,838.679993,5294300
2017-03-10,843.280029,850.849976,839.500000,848.780029,848.780029,6066600
2017-03-17,851.609985,853.500000,812.257019,817.580017,817.580017,10295900
2017-03-24,820.080017,833.679993,803.369995,831.500000,831.500000,8337400
2017-03-31,828.969971,842.450012,826.460022,827.880005,827.880005,6928500
2017-04-07,827.960022,829.349976,817.020020,823.559998,823.559998,5138800
2017-04-14,825.010010,845.200012,824.469971,841.650024,841.650024,3644900
2017-04-21,842.880005,876.049988,840.599976,874.250000,874.250000,7632100
2017-04-28,910.659973,935.929993,901.450012,931.659973,931.659973,9901100
2017-05-05,933.539978,937.500000,923.030029,930.599976,930.599976,6831800
